DATE,IR3TIB01JPM156N
2019-06-01,0.049
2019-07-01,0.049
2019-08-01,0.009
2019-09-01,0.009
2019-10-01,0.009
2019-11-01,0.018
2019-12-01,0.021
2020-01-01,0.021
2020-02-01,0.021
2020-03-01,0.006
2020-04-01,-0.039
2020-05-01,-0.042
2020-06-01,-0.042
2020-07-01,-0.065
2020-08-01,-0.065
2020-09-01,-0.055
2020-10-01,-0.055
2020-11-01,-0.055
2020-12-01,-0.055
2021-01-01,-0.055
2021-02-01,-0.055
2021-03-01,-0.065
2021-04-01,-0.065
2021-05-01,-0.065
2021-06-01,-0.072
2021-07-01,-0.072
2021-08-01,-0.072
2021-09-01,-0.072
2021-10-01,-0.072
2021-11-01,-0.072
2021-12-01,-0.049
2022-01-01,-0.049
2022-02-01,-0.049
2022-03-01,-0.049
2022-04-01,-0.049
2022-05-01,-0.049
2022-06-01,0.005
2022-07-01,-0.031
2022-08-01,-0.02
2022-09-01,-0.016
2022-10-01,-0.016
2022-11-01,-0.016
2022-12-01,-0.015
